age,job,marital,education,default,housing,loan,contact,month,dayofweek,campaign,p_days,previous,p_outcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor_3_m,nr_employed,y,p_days2
0.0,1,2,3,1,1,0,0,4,mon,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.0,0.0,0,0
0.045454545454545414,9,1,6,1,2,0,0,3,tue,0.5,0.0,0.0,failure,0.0,0.0,0.0,0.0,0.0,0,0
0.09090909090909083,7,0,7,0,0,0,0,7,wed,0.5,0.0,0.0,success,0.0,0.0,0.0,0.0,0.0,0,0
0.4545454545454546,5,0,0,0,1,1,0,0,thu,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.0,0.0,0,0
0.18181818181818166,4,0,1,1,1,0,0,8,fri,1.0,0.0,0.0,nonexistent,0.0,0.0,0.0,0.0,0.0,0,0
0.7727272727272727,0,0,2,1,0,0,0,6,mon,1.0,0.0,0.0,failure,0.0,0.0,0.0,0.0,0.0,0,0
0.2727272727272727,2,1,4,1,1,2,0,5,tue,0.0,0.0,0.0,nonexistent,0.0,0.0,0.0,0.07692307692307693,0.07692307692309441,1,0
0.4545454545454546,3,1,5,1,1,2,0,1,wed,0.5,0.0,0.0,success,0.0,0.0,0.0,0.1538461538461539,0.15384615384618883,1,0
0.8181818181818181,6,1,3,1,1,2,0,11,thu,0.5,0.0,0.0,failure,0.0,0.0,0.0,0.23076923076923078,0.2307692307692264,1,0
0.5454545454545454,8,1,6,1,1,2,0,10,fri,0.5,0.0,0.0,failure,0.0,0.0,0.0,0.30769230769230765,0.3076923076923208,0,0
0.9090909090909092,1,1,7,1,1,1,1,9,mon,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.38461538461538464,0.3846153846154152,1,0
0.6363636363636362,10,1,0,1,0,2,1,2,tue,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.4615384615384615,0.4615384615384528,1,0
0.09090909090909083,1,1,1,1,0,2,1,4,wed,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.5384615384615385,0.5384615384615472,0,0
0.7272727272727273,9,2,2,1,2,2,1,3,thu,0.5,0.0,0.0,failure,0.0,0.0,0.0,0.6153846153846154,0.6153846153846416,1,0
0.7727272727272727,7,2,4,1,0,2,1,7,fri,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.6923076923076923,0.6923076923076792,1,0
0.8181818181818181,5,2,5,1,0,0,1,0,mon,0.0,0.0,0.0,nonexistent,0.0,0.0,0.0,0.7692307692307692,0.7692307692307736,1,0
0.8636363636363635,4,2,3,1,0,0,1,8,tue,0.5,0.0,0.0,success,0.0,0.0,0.0,0.846153846153846,0.846153846153868,1,0
0.9545454545454546,0,2,6,1,1,0,1,6,wed,0.5,0.0,0.0,success,0.0,0.0,0.0,0.9230769230769231,0.9230769230769056,1,0
1.0,2,1,7,1,1,0,1,5,thu,0.0,0.0,0.0,failure,0.0,0.0,0.0,1.0,1.0,1,0
0.2727272727272727,2,1,4,1,1,2,0,5,tue,0.0,0.0,0.0,nonexistent,0.0,0.0,0.0,0.07692307692307693,0.07692307692309441,1,0
0.4545454545454546,3,1,5,1,1,2,0,1,wed,0.5,0.0,0.0,success,0.0,0.0,0.0,0.1538461538461539,0.15384615384618883,1,0
0.8181818181818181,6,1,3,1,1,2,0,11,thu,0.5,0.0,0.0,failure,0.0,0.0,0.0,0.23076923076923078,0.2307692307692264,1,0
0.9090909090909092,1,1,7,1,1,1,1,9,mon,0.5,0.0,0.0,nonexistent,0.0,0.0,0.0,0.38461538461538464,0.3846153846154152,1,0
